N;Code;New;Name;Price;Izd;Pages;Format;Date;Pressrun;Themes;Category
166;5434;ЛОЖЬ;Использование Microsoft Windows 2000  Professional;61,00;Вильямс;912;70х100/16;29.09.2000;5000;Операционные системы;Windows 2000
167;4689;ЛОЖЬ;Windows 2000 изнутри;24,17;ДМК;400;70х100/16;10.02.2000;3000;Операционные системы;Windows 2000
168;5161;ЛОЖЬ;"Windows 2000 Professional  для ""чайников""";18,90;Диалектика;352;70х100/16;27.09.2000;5000;Операционные системы;Windows 2000
169;5441;ЛОЖЬ;Windows МЕ.  Наглядно, понятно, быстро;18,00;Лаборатория Базовых Знаний;368;70х100/16;17.11.2000;3000;Операционные системы;Windows 2000
170;4767;ЛОЖЬ;Переход на Windows 2000: для профессионалов.;18,48;Питер;448;70х100/16;30.03.2000;5000;Операционные системы;Windows 2000
171;5135;ЛОЖЬ;Руководство системного администратора Windows: для профессионалов;20,82;Питер;368;70х100/16;15.08.2000;5000;Операционные системы;Windows 2000
172;5226;ЛОЖЬ;Сетевые технологии Windows 2000 для профессионалов;21,96;Питер;592;70х100/16;25.08.2000;5000;Операционные системы;Windows 2000
173;4694;ЛОЖЬ;Microsoft Windows 2000. Операционная система;38,57;Познавательная книга;656;70х100/16;09.11.1999;4000;Операционные системы;Windows 2000
174;5346;ЛОЖЬ;Windows 2000  Professional. Руководство Питера Нортона;31,58;Русская редакция;480;70х100/16;17.10.2000;5000;Операционные системы;Windows 2000
175;5217;ЛОЖЬ;Windows МЕ. Новейшие версии программ;16,57;Триумф;320;70х100/16;25.08.2000;5000;Операционные системы;Windows 2000
176;4829;ЛОЖЬ;Windows 2000 Professional шаг за шагом с СD;27,25;Эком;320;70х100/16;28.04.2000;5000;Операционные системы;Windows 2000
177;3291;ЛОЖЬ;Red Hat Linux. Энциклопедия пользователя (без  CD-ROM);24,00;DiaSoft;464;84х108\16;19.03.1999;3000;Операционные системы;Linux
178;2464;ЛОЖЬ;Red Hat Linux. Энциклопедия пользователя + CD-ROM;24,00;DiaSoft;464;60х86\8;10.08.1998;3000;Операционные системы;Linux
179;5463;ЛОЖЬ;Сервер Red Hat Linux для Windows;24,00;DiaSoft;400;70х100/16;12.02.2001;3000;Операционные системы;Linux
180;3926;ЛОЖЬ;Linux 5.2. Энциклопедия пользователя + 2 CD-ROM;29,00;DiaSoft;688;84х108/16;22.04.1999;3000;Операционные системы;Linux
181;5164;ЛОЖЬ;Максимальная безопасность в Linux;39,00;DiaSoft;400;84х108/16;25.09.2000;3000;Операционные системы;Linux
182;4844;ЛОЖЬ;Ядро Linux в комментариях (+ CD);39,00;DiaSoft;488;84х108/16;23.05.2000;3000;Операционные системы;Linux
183;4653;ЛОЖЬ;Red Hat Linux 6.0. Учебник;19,00;DiaSoft UP;401;70х100/16;27.01.2000;3000;Операционные системы;Linux
184;4467;ЛОЖЬ;Системное администрирование Linux.;24,60;Вильямс;320;70х100/16;14.01.2000;4000;Операционные системы;Linux
185;4236;ЛОЖЬ;Освой самостоятельно Linux за 24 часа,2-е издание с приложением;30,23;Вильямс;479;70х100/16;11.11.1999;3500;Операционные системы;Linux
186;5221;ЛОЖЬ;Брандмауэры в Linux;37,80;Вильямс;384;70х100/16;02.10.2000;4000;Операционные системы;Linux
187;4810;ЛОЖЬ;Использование Linux. Специальное издание. 5-е издание;47,40;Вильямс;784;70х100/16;03.04.2000;4000;Операционные системы;Linux
188;5170;ЛОЖЬ;Linux Русские версии;24,43;ДМК;346;70х100/16;29.09.2000;5000;Операционные системы;Linux
189;5473;ЛОЖЬ;Путь к LINUX. 2е изд.;28,75;Нолидж;560;70х100/16;01.12.2000;3000;Операционные системы;Linux
190;4664;ЛОЖЬ;UNIX : Руководство системного администратора.;32,70;BHV Киев;832;70х100/16;07.12.1999;3500;Операционные системы;Unix
191;860;ЛОЖЬ;Операционная система UNIX;3,50;BHV С.-Петербург;395;84х100\16;05.05.1997;5000;Операционные системы;Unix
192;1557;ЛОЖЬ;Unix  для системных администраторов. Энциклопедия пользователя ( + CD-ROM );80,00;DiaSoft;864;60х84/8;15.06.1998;5000;Операционные системы;Unix
193;4318;ЛОЖЬ;UNIX для Internet . Энциклопедия пользователя   ( + CD-ROM );95,00;DiaSoft;496;84х108/16;05.11.1999;1000;Операционные системы;Unix
194;4701;ЛОЖЬ;Освой самостоятельно системное администрирование Unix за 21 день;37,80;Вильямс;608;70х100/16;01.03.2000;4000;Операционные системы;Unix
195;4812;ЛОЖЬ;Секреты UNIX , 2- е издание;57,00;Диалектика;1072;70х100/16;05.05.2000;4000;Операционные системы;Unix
196;3339;ЛОЖЬ;Unix \Компьютерный мир ХХ1 века;4,98;Не определено;0;;;0;Операционные системы;Unix
197;4779;ЛОЖЬ;NetWare 5.Настольная книга администратора;38,94;ДМК;656;70х100/16;03.04.2000;3000;Операционные системы;NetWare
198;4030;ЛОЖЬ;Переход к NetWare 5. Учебное руководство для специалистов CNE;41,56;Лори;250;70х100/16;30.06.1999;3200;Операционные системы;NetWare
199;4282;ЛОЖЬ;Эффективная работа с Net Ware 5;24,42;Питер;0;;;0;Операционные системы;NetWare
200;4490;ЛОЖЬ;Руководство администратора Novell NetWare 5 для профессионалов;24,42;Питер;496;70х100/16;;4000;Операционные системы;NetWare
201;884;ЛОЖЬ;OS/2 Warp в вопросах и ответах;16,17;BHV С.-Петербург;216;70х100;;5000;Операционные системы;Другие операционные системы
202;5152;ЛОЖЬ;Самоучитель Windows Millennium.;22,77;BHV С.-Петербург;464;70х100/16;10.10.2000;5000;Операционные системы;Другие операционные системы
203;44;ЛОЖЬ;Ответы на актуальные вопросы по OS/2 Warp;5,00;DiaSoft;352;60х84/16;20.03.1996;5000;Операционные системы;Другие операционные системы
204;5187;ЛОЖЬ;Корпоративные системы на основе CORBA;37,80;Вильямс;368;70х100/16;28.08.2000;5000;Операционные системы;Другие операционные системы
205;5192;ЛОЖЬ;Fortran & WIN 32 API;10,86;Диалог-МИФИ;304;60х84/16;20.11.2000;3000;Операционные системы;Другие операционные системы
206;5176;ЛОЖЬ;Windows Ме. Спутник пользователя;12,79;Русская редакция;306;;10.10.2000;5000;Операционные системы;Другие операционные системы
207;172;ЛОЖЬ;Теория и практика С++;16,26;BHV С.-Петербург;416;70х100/16;21.06.1999;3000;Программирование;C&C++
208;1021;ЛОЖЬ;Borland C++ 5;33,68;BHV С.-Петербург;976;70x100/16;01.09.1997;8000;Программирование;C&C++
209;5462;ЛОЖЬ;Язык программирования С++. Лекции и упражнения;29,00;DiaSoft;656;84х108/16;12.12.2000;5000;Программирование;C&C++
210;4982;ЛОЖЬ;Язык программирования С. Лекции и упражнения;29,00;DiaSoft;432;84х108/16;12.07.2000;5000;Программирование;C&C++
211;4754;ЛОЖЬ;С++ Энциклопедия пользователя с приложением;53,00;DiaSoft;584;84х108/16;05.01.2000;3000;Программирование;C&C++
212;5213;ЛОЖЬ;С++. Начала программирования с дискетой;15,17;Бином;304;60х90/16;16.11.2000;4000;Программирование;C&C++
213;5107;ЛОЖЬ;C/C++. Программирование в среде C ++ Builder 5;28,24;Бином;368;70х100/16;20.09.2000;4000;Программирование;C&C++
214;4799;ЛОЖЬ;Как программировать на С;41,14;Бином;1008;70х100/16;22.03.2000;3000;Программирование;C&C++
215;5342;ЛОЖЬ;С/С++. Архив программ с дискетой;45,23;Бином;640;70х100/16;25.12.2000;4000;Программирование;C&C++
216;3604;ЛОЖЬ;Структуры баз данных С++;46,92;Бином;0;;;0;Программирование;C&C++
217;4624;ЛОЖЬ;Основы ООП на языке С++. Учебный курс;11,81;Горячая линия -Телеком;208;60х88/16;09.03.1999;3000;Программирование;C&C++
218;4520;ЛОЖЬ;C++ . Бархатный путь;20,25;Горячая линия -Телеком;400;60х88/16;;3000;Программирование;C&C++
219;5352;ЛОЖЬ;Самоучитель программирования на языке  C++ в Builder 5;16,42;ДЕСС КОМ;272;70х100/16;10.11.2000;1000;Программирование;C&C++
220;4687;ЛОЖЬ;Эффективное использование C++ .50 рекомендаций по улучшению ваших программ и проектов;17,60;ДМК;240;70х100/16;03.02.2000;5000;Программирование;C&C++
221;5204;ЛОЖЬ;Дизайн и эвалюция языка С++;33,38;ДМК;448;70х100/16;22.09.2000;3000;Программирование;C&C++
222;87;ЛОЖЬ;ООП на Borland C++ 4.5;6,90;Диалектика;0;;;0;Программирование;C&C++
223;3967;ЛОЖЬ;Программирование на C++: Учебное пособие;15,12;Корона Принт;256;70х100/16;29.07.1999;5000;Программирование;C&C++
224;282;ЛОЖЬ;Учимся программировать на языке С++;20,03;Мир;0;;;0;Программирование;C&C++
225;5533;ИСТИНА;Введение в С#. Библиотека программиста;12,82;Питер;304;70х100/16;24.01.2001;5000;Программирование;C&C++
226;3052;ЛОЖЬ;С++: учебный курс;18,42;Питер;500;70х100/16;;5000;Программирование;C&C++
227;5212;ЛОЖЬ;Программирование на С и С++.;10,36;Познавательная книга плюс;416;70х100/32;18.01.2000;5000;Программирование;C&C++
228;4690;ЛОЖЬ;Visual Basic 6.0. Библиотека студента;5,00;BHV Киев;288;84х108/32;10.02.2000;8000;Программирование;Visual Basic
229;4978;ЛОЖЬ;Visual Basic для Web: руководство разработчика;15,00;BHV Киев;384;70х100/16;04.07.2000;5000;Программирование;Visual Basic
230;3383;ЛОЖЬ;Программирование в Office. Полное руководство по VBA с приложением;30,60;BHV Киев;0;;;0;Программирование;Visual Basic
231;5340;ЛОЖЬ;Программирование на Visual Basic 6 и  VBA . Руководство разработчика;45,00;BHV Киев;912;70х100/16;30.11.2000;5000;Программирование;Visual Basic
232;3912;ЛОЖЬ;Самоучитель VBA.;19,91;BHV С.-Петербург;512;70х100/16;09.07.1999;3000;Программирование;Visual Basic
233;4666;ЛОЖЬ;Visual Basic 6.0: разработка приложений (+дискета);26,73;BHV С.-Петербург;448;70х100/16;03.02.2000;5000;Программирование;Visual Basic
234;2997;ЛОЖЬ;Visual Basic 6.0;45,76;BHV С.-Петербург;992;70х100/16;17.03.1999;5000;Программирование;Visual Basic
235;5099;ЛОЖЬ;Приложение к книге Этюды Visual Basic 6;7,00;DiaSoft;0;;;0;Программирование;Visual Basic
236;3850;ЛОЖЬ;Программирование на Visual Basic 6. Этюды профессионалов ( + CD-ROM );29,00;DiaSoft;480;84х108/16;22.03.1999;3000;Программирование;Visual Basic
237;811;ЛОЖЬ;Visual Basic 5. Проф.издание.;28,48;Бином;656;70х100\16;21.08.1998;6000;Программирование;Visual Basic
238;5411;ЛОЖЬ;Разработка защищенных приложений в среде Visual Basic;37,80;Вильямс;480;70х100/16;25.11.2000;5000;Программирование;Visual Basic
239;2960;ЛОЖЬ;Использование Visual Basic 6.0. Специальное издание;37,80;Вильямс;832;70х100/16;15.04.1999;3000;Программирование;Visual Basic
240;4716;ЛОЖЬ;Для программистов Visual Basic 6. Введение в программирование баз данных;31,35;ДМК;720;70х100/16;31.01.2000;3000;Программирование;Visual Basic
241;3956;ЛОЖЬ;Руководство разработчика баз данных на Visual Basic 6;54,30;Диалектика;976;70х100/16;09.07.1999;3800;Программирование;Visual Basic
242;4505;ЛОЖЬ;Visual Basic 6.0, Visual Basic for Application 6.0. Язык программирования.Справочник с примерами;20,21;КУДИЦ- ОБРАЗ;448;70х100/16;25.12.1999;3000;Программирование;Visual Basic
243;662;ЛОЖЬ;Программирование баз данных на Visual Basic 5 (+ дискета);12,66;Питер;256;70х100\16;03.09.1997;10000;Программирование;Visual Basic
244;4795;ЛОЖЬ;Разработка приложений на Visual Basic 6.0. Учебный курс (сертификационный экзамен 70- 176);40,19;Русская редакция;400;;05.01.2000;4000;Программирование;Visual Basic
245;4720;ЛОЖЬ;Visual C++6 : для пользователя;15,00;BHV Киев;336;70х100/16;03.02.2000;4000;Программирование;Visual C++
246;4946;ЛОЖЬ;Visual C++6 . Руководство разработчика;26,40;BHV Киев;624;70х100/16;08.06.2000;5000;Программирование;Visual C++
247;3922;ЛОЖЬ;Самоучитель Visual C++ 6;43,71;BHV С.-Петербург;950;70х100/16;04.06.1999;3000;Программирование;Visual C++
248;4100;ЛОЖЬ;Visual C++ и MFC. 2е издание;48,73;BHV С.-Петербург;1040;70х100/16;26.10.1999;3000;Программирование;Visual C++
249;5063;ЛОЖЬ;Самоучитель Visual C++ 6 в примерах.  ( + CD-ROM );23,00;DiaSoft;496;70х100/16;22.08.2000;3000;Программирование;Visual C++
250;5056;ЛОЖЬ;Visual C ++ 6 и MFC. Энциклопедия пользователя. ( + CD-ROM );75,00;DiaSoft;720;84х108/16;10.05.2000;2000;Программирование;Visual C++
251;3380;ЛОЖЬ;Использование Visual C++ 6. Специальное издание;39,95;Вильямс;864;70х100/16;26.08.1999;3000;Программирование;Visual C++
252;5349;ЛОЖЬ;Представляем Си Шарп. Дальнейшее развитие Visual Studio 6.0;16,42;ДМК;192;60х88/16;30.01.2000;3000;Программирование;Visual C++
253;3857;ЛОЖЬ;Visual C++ 6: Учебный курс;19,36;Питер;576;70х100/16;01.03.1999;7000;Программирование;Visual C++
254;4522;ЛОЖЬ;Delphi 5 для пользователя;16,50;BHV Киев;496;70х100/16;24.11.1999;4000;Программирование;Delphi
255;4746;ЛОЖЬ;OpenGL.Графика в проектах Delphi.;20,46;BHV С.-Петербург;352;70х100/16;31.03.2000;5000;Программирование;Delphi
256;3621;ЛОЖЬ;Delphi 4. Самоучитель (без приложения);9,00;DiaSoft;192;84х108\16;15.12.1998;3000;Программирование;Delphi
257;158;ЛОЖЬ;Секреты DELPHI 2  ( + CD-ROM );20,00;DiaSoft;800;;;0;Программирование;Delphi
258;5419;ЛОЖЬ;Delphi 5. Базы данных и приложения. Лекции и упражнения;25,00;DiaSoft;592;70х100/16;02.01.2001;2000;Программирование;Delphi
259;2757;ЛОЖЬ;Delphi 4. Энциклопедия пользователя ( + CD-ROM );29,00;DiaSoft;400;84х108\16;01.11.1998;3000;Программирование;Delphi
260;242;ЛОЖЬ;Delphi 2. Энциклопедия пользователя ( + CD-ROM ).;35,00;DiaSoft;736;60х84/8;09.09.1996;5000;Программирование;Delphi
261;93;ЛОЖЬ;Создание оригинальных компонент в среде Delphi;49,00;DiaSoft;512;60х84/16;03.04.1996;12000;Программирование;Delphi
262;4325;ЛОЖЬ;How to program Delphi 3 (+CD);227,76;Ziff-Davis Press;0;;;0;Программирование;Delphi
263;4620;ЛОЖЬ;Delphi тонкости программирования;9,45;Бином;192;60х84/16;08.10.1999;4100;Программирование;Delphi
264;4270;ЛОЖЬ;Object Pascal в Delphi 5;10,19;Бином;224;60х84/16;10.10.1999;5000;Программирование;Delphi
265;4268;ЛОЖЬ;Интегрированная среда Delphi 5;10,27;Бином;256;60х84/16;14.10.1999;5000;Программирование;Delphi
266;4266;ЛОЖЬ;Разработка прикладных программ в Delphi 5;10,28;Бином;256;60х84/16;29.09.1999;5000;Программирование;Delphi
267;4777;ЛОЖЬ;Delphi для профессионалов. Опыт практического применения.;19,22;ДМК;240;70х100/16;01.04.2000;3000;Программирование;Delphi
268;4633;ЛОЖЬ;Delphi 5 для программистов, разработка корпоративных приложений;28,18;ДМК;512;70х100/16;01.02.2000;3000;Программирование;Delphi
269;4247;ЛОЖЬ;Delphi 4 Шаг в будущее ДМК;38,67;ДМК;0;;;0;Программирование;Delphi
270;2695;ЛОЖЬ;DELPHI 4. Среда разработки.;9,27;Диалог-МИФИ;304;60х84\16;15.12.1998;4000;Программирование;Delphi
271;4475;ЛОЖЬ;Delphi 5. Язык  Object Pascal;11,07;Диалог-МИФИ;368;60х84/16;24.12.1999;3000;Программирование;Delphi
272;4892;ЛОЖЬ;Delphi 5.Самоучитель программиста;18,95;КУДИЦ- ОБРАЗ;336;70х100/16;;3000;Программирование;Delphi
273;4617;ЛОЖЬ;Delphi 5. Учебный курс.;27,60;Нолидж;608;70х100/16;27.12.1999;10000;Программирование;Delphi
274;4393;ЛОЖЬ;Delphi 5. Учебный курс;18,48;Питер;640;70х100/16;28.01.2000;7000;Программирование;Delphi
275;2758;ЛОЖЬ;Borland C++ Builder 3. Энциклопедия пользователя ( + CD-ROM );45,00;DiaSoft;800;84х108\16;01.12.1998;3000;Программирование;Borland C++ Builder
276;4048;ЛОЖЬ;Практика Direct3DRM на C++ Builder. Книга 1;24,76;БЛИЦ;313;;30.09.1999;500;Программирование;Borland C++ Builder
277;4983;ЛОЖЬ;Borland C ++ Builder 5. Работа с локальными базами данных;12,52;Бином;208;60х84/16;15.06.2000;3000;Программирование;Borland C++ Builder
278;4976;ЛОЖЬ;Borland C ++ Builder 5. Язык SQL;12,52;Бином;224;60х84/16;13.07.2000;3000;Программирование;Borland C++ Builder
279;4919;ЛОЖЬ;Borland C ++ Builder 5. 70 компонентов ввода/вывода;12,72;Бином;288;60х84/16;07.06.2000;3000;Программирование;Borland C++ Builder
280;4921;ЛОЖЬ;Borland C ++ Builder 5. Интегрированная среда разработки;12,72;Бином;272;60х84/16;07.06.2000;3000;Программирование;Borland C++ Builder
281;5107;ЛОЖЬ;C/C++. Программирование в среде C ++ Builder 5;28,24;Бином;368;70х100/16;20.09.2000;4000;Программирование;Borland C++ Builder
282;3325;ЛОЖЬ;Самоучитель программирования на языке C++ в системе Borland C++ Builder 4.0;13,02;ДЭСС;286;70х100/16;01.09.1998;5000;Программирование;Borland C++ Builder
283;4014;ЛОЖЬ;Введение в Borland C++ Builder 4;10,98;Диалог-МИФИ;352;60х84/16;03.09.1999;3000;Программирование;Borland C++ Builder
284;5474;ЛОЖЬ;Borland С++ Builder 5. Техника визуального программирования.;32,50;Нолидж;688;70х100/16;10.11.2000;4000;Программирование;Borland C++ Builder
285;4989;ЛОЖЬ;Турбо Паскаль 7.0. Учебник. Библиотека студента;7,50;BHV Киев;400;84х108/32;03.08.2000;8000;Программирование;Pascal
286;4625;ЛОЖЬ;Основы языка Pascal. Учебный курс;8,78;Горячая линия -Телеком;208;60х88/16;25.06.1999;5000;Программирование;Pascal
287;4994;ЛОЖЬ;Учебник Pascal - XSC. Язык численного программирования;19,10;ДМК;352;60х88/16;21.08.2000;3000;Программирование;Pascal
288;318;ЛОЖЬ;Turbo Pascal 7.0. Практика программирования. Учебное пособие.;15,23;Нолидж;430;70х100\16;14.09.1998;5000;Программирование;Pascal
289;5493;ИСТИНА;Алгоритмы и программы на Turbo Pascal. Учебный курс;8,21;Питер;240;70х100/16;25.01.2001;5000;Программирование;Pascal
290;4833;ЛОЖЬ;Ассемблер : программирование и анализ корректности машин;8,50;BHV Киев;480;84х108/32;27.04.2000;8000;Программирование;Assembler
291;4251;ЛОЖЬ;Visual Studio 6. Полное руководство  + CD;27,90;BHV Киев;672;70х100/16;11.10.1999;4000;Программирование;Другие языки программирования
292;1057;ЛОЖЬ;Power Builder 6.0. Энциклопедия пользователя ( + CD-ROM );35,00;DiaSoft;816;60х84/8;30.05.1998;3000;Программирование;Другие языки программирования
293;4428;ЛОЖЬ;Power Builder 6.0. Энциклопедия пользователя ( + CD-ROM );341,76;Sams Pablishing;0;;;0;Программирование;Другие языки программирования
294;5141;ЛОЖЬ;Структуры данных и алгоритмы.;37,80;Вильямс;384;70х100/16;29.09.2000;5000;Программирование;Другие языки программирования
295;4164;ЛОЖЬ;STL для пргораммистов на C++;19,16;ДМК;240;70х100/16;04.06.1999;3000;Программирование;Другие языки программирования
296;4714;ЛОЖЬ;Для программистов UML. Руководство пользователя;35,12;ДМК;432;70х100/16;03.03.2000;3000;Программирование;Другие языки программирования
297;216;ЛОЖЬ;Библия разработчика PowerBuilder 5.0;14,00;Диалектика;0;;;0;Программирование;Другие языки программирования
298;4179;ЛОЖЬ;Visual Fortran новые возможности;9,10;Диалог-МИФИ;304;60х84/16;10.11.1999;4000;Программирование;Другие языки программирования
299;4476;ЛОЖЬ;Графика Open GL программирование на Фортране;11,47;Диалог-МИФИ;368;60х84/16;17.12.1999;3000;Программирование;Другие языки программирования
300;5078;ЛОЖЬ;Фортран для профессионалов. Математическая библиотека IMSL книга 1;19,06;Диалог-МИФИ;448;60х84/16;11.09.2000;3000;Программирование;Другие языки программирования
301;3982;ЛОЖЬ;Программирование на Фортране PowerStation для Инженеров. Практическое руководство;12,24;Корона Принт;160;70х100/16;14.07.1999;5000;Программирование;Другие языки программирования
302;4940;ЛОЖЬ;UML Rational Rose;69,41;Лори;582;84х108/16;14.06.2000;3200;Программирование;Другие языки программирования
303;5528;ИСТИНА;TCL. Командный язык прграммирования;5,42;Майор;192;60х84/16;13.12.2000;4000;Программирование;Другие языки программирования
304;4630;ЛОЖЬ;UML в кратком изложении;15,00;Мир;191;60х90/16;14.07.1999;5000;Программирование;Другие языки программирования
305;4115;ЛОЖЬ;Visual Studio 6. Искуство программирования.;18,53;Нолидж;255;70х100/16;13.10.1999;3000;Программирование;Другие языки программирования
306;5124;ЛОЖЬ;Дискретная математика для программистов. Учебник;15,06;Питер;304;70х100/16;31.07.2000;5000;Программирование;Другие языки программирования
307;4997;ЛОЖЬ;Язык Basic;9,03;СОЛОН - Р;224;70х100/16;;5000;Программирование;Другие языки программирования
308;5065;ЛОЖЬ;Модель COM и применение ATL 3.0;43,14;BHV С.-Петербург;928;70х100/16;26.07.2000;3000;Программирование;Общие вопросы
309;5051;ЛОЖЬ;СОМ и СОМ+. Полное руководство;27,00;Век+;560;70х100/16;20.07.2000;3000;Программирование;Общие вопросы
310;4909;ЛОЖЬ;Технология СОМ+.Основы и программирование.;37,80;Вильямс;480;70х100/16;08.06.2000;5000;Программирование;Общие вопросы
311;4974;ЛОЖЬ;Искусство программирования, том 1. Основные алгоритмы, 3е изд.;74,10;Вильямс;720;70х100/16;18.07.2000;5000;Программирование;Общие вопросы
312;5092;ЛОЖЬ;Исскуство программирования,том 2.Полученные алгоритмы,3-е издание.;74,10;Вильямс;832;70х100/16;20.09.2000;7000;Программирование;Общие вопросы
313;4915;ЛОЖЬ;Искусство программирования, том 3.Сортировка и поиск, 2е изд.;74,10;Вильямс;832;70х100/16;15.06.2000;5000;Программирование;Общие вопросы
314;3945;ЛОЖЬ;BPwin и ERwin. CASE-средства разработки информационных систем;12,07;Диалог-МИФИ;256;60х84/16;20.05.1999;3000;Программирование;Общие вопросы
315;5059;ЛОЖЬ;Системное программирование. Основы построения трансляторов;20,65;Корона Принт;256;70х100/16;02.08.2000;3000;Программирование;Общие вопросы
316;4474;ЛОЖЬ;Основы CORBA;25,55;Малип;318;60х88/16;27.07.1999;3000;Программирование;Общие вопросы
317;4681;ЛОЖЬ;Языки программирования Практический сравнительный анализ;27,03;Мир;366;70х100/16;29.10.1999;5000;Программирование;Общие вопросы
318;5024;ЛОЖЬ;Лучшее программное обеспечение для персонального компьютера. Справочник;10,11;Оверлей;448;70х100/32;;4000;Программирование;Общие вопросы
319;4821;ЛОЖЬ;Библиотека программиста  ActiveX;18,58;Попурри;624;70х100/16;27.12.1999;3000;Программирование;Общие вопросы
320;4660;ЛОЖЬ;Основы COM. 2е издание, исправленное;20,58;Русская редакция;400;60х84/16;20.01.2000;2000;Программирование;Общие вопросы
321;4293;ЛОЖЬ;Открой для себя Office 97;18,00;Комиздат;0;;;0;Офисные пакеты;Office 97
322;934;ЛОЖЬ;CD - брошюра Office 97 шаг за шагом;20,00;Питер;0;;;5000;Офисные пакеты;Office 97
323;771;ЛОЖЬ;Ресурсы MS Office 97;35,00;Русская редакция;0;;;0;Офисные пакеты;Office 97
324;5033;ЛОЖЬ;Создание Web- страниц в MS Office 2000;17,05;BHV С.-Петербург;320;70х100/16;25.08.2000;4000;Офисные пакеты;Office 2000
325;4686;ЛОЖЬ;Microsoft Office 2000 : разработка приложений. мастер;36,32;BHV С.-Петербург;656;70х100/16;29.02.2000;5000;Офисные пакеты;Office 2000
326;4303;ЛОЖЬ;Microsoft Office 2000.Избранное от Питера Нортона;29,00;DiaSoft;552;84х108/16;09.09.1999;3000;Офисные пакеты;Office 2000
327;4852;ЛОЖЬ;Использование Microsoft Office 2000. Специальное издание.;47,40;Вильямс;1024;70х100/16;17.04.2000;4000;Офисные пакеты;Office 2000
328;5008;ЛОЖЬ;"Microsoft Office 2000 для Windows для ""чайников"". Учебный курс";18,90;Диалектика;256;70х100/16;18.07.2000;6000;Офисные пакеты;Office 2000
329;5122;ЛОЖЬ;MS Office 2000. Краткий курс;7,38;Питер;288;84х108/32;05.07.2000;5000;Офисные пакеты;Office 2000
330;5013;ЛОЖЬ;MS Office 2000 автоматизация и Интернет- возможности;23,23;Русская редакция;352;;27.07.2000;3000;Офисные пакеты;Office 2000
331;5344;ЛОЖЬ;MS Office 2000 . Основные приложения;27,79;Русская редакция;448;70х100/16;20.10.2000;3000;Офисные пакеты;Office 2000
332;4979;ЛОЖЬ;MS Outlook 2000 шаг за шагом ( + CD-ROM );27,65;Эком;368;70х100/16;06.03.2000;3000;Офисные пакеты;Office 2000
333;5032;ЛОЖЬ;Самоучитель Microsoft Outlook 2000;17,89;BHV С.-Петербург;336;70х100/16;03.08.2000;3000;Офисные пакеты;Компоненты Office: Power Point, Outlook
334;5456;ЛОЖЬ;MS Office и Project в управлении и делопроизводстве 2-е изд.;22,66;BHV С.-Петербург;400;70х100/16;30.01.2001;3000;Офисные пакеты;Компоненты Office: Power Point, Outlook
335;4725;ЛОЖЬ;MS Outlook 98: краткий курс;6,78;Питер;288;84х108/32;13.04.1999;5000;Офисные пакеты;Компоненты Office: Power Point, Outlook
336;5134;ЛОЖЬ;Эффективная работа с Outlook 2000;25,38;Питер;656;70х100/16;27.07.2000;5000;Офисные пакеты;Компоненты Office: Power Point, Outlook
337;5150;ЛОЖЬ;"Приложение к книге ""Lotus Notes и Domino R5"" Энциклопедия пользователя";7,00;DiaSoft;0;;;2000;Офисные пакеты;Lotus Notes
338;5139;ЛОЖЬ;Lotus Notes и Domino R5. Энциклопедия пользователя ( + CD-ROM );79,00;DiaSoft;656;84х108/16;22.10.2000;2000;Офисные пакеты;Lotus Notes
339;4675;ЛОЖЬ;Lotus Notes 5 Учебный курс;16,98;Питер;528;70х100/16;11.02.2000;4000;Офисные пакеты;Lotus Notes
340;4333;ЛОЖЬ;Word 97;142,38;Ziff-Davis Press;0;;;0;Текстовые редакторы;Word 97
341;3303;ЛОЖЬ;У меня на диске Word! А у Вас?;6,42;Факт;60;60х84\8;10.02.1998;0;Текстовые редакторы;Word 97
342;5514;ИСТИНА;Microsoft Word 97 ЭКСТЕРНОМ: Учебное пособие;3,85;ЭКСТ;56;60х90/16;19.12.2000;3000;Текстовые редакторы;Word 97
343;5341;ЛОЖЬ;Word 2000.Руководство разработчика;42,00;BHV Киев;944;70х100/16;20.09.2000;5000;Текстовые редакторы;Word 2000
344;3923;ЛОЖЬ;Самоучитель Microsoft Word 2000.;19,91;BHV С.-Петербург;560;70х100/16;03.06.1999;3000;Текстовые редакторы;Word 2000
345;3916;ЛОЖЬ;Microsoft Word 2000. В подлиннике;37,07;BHV С.-Петербург;992;70х100/16;24.06.1999;3000;Текстовые редакторы;Word 2000
346;4837;ЛОЖЬ;Word 2000. Базовый курс;15,00;Век+;400;70х100/16;28.03.2000;5000;Текстовые редакторы;Word 2000
347;4299;ЛОЖЬ;"Word 2000 для Windows для ""чайников""";13,20;Диалектика;326;70х100/16;20.12.1999;4000;Текстовые редакторы;Word 2000
348;5042;ЛОЖЬ;Word 2000. Наглядно, понятно, быстро;13,90;Лаборатория Базовых Знаний;336;70х100/16;;5000;Текстовые редакторы;Word 2000
349;5132;ЛОЖЬ;Word 2000. Справочник. 2е изд.;9,24;Питер;384;84х108/32;21.02.2000;5000;Текстовые редакторы;Word 2000
350;4120;ЛОЖЬ;Самоучитель Word 2000;11,58;Питер;313;70х100/16;21.09.1999;5000;Текстовые редакторы;Word 2000
